observation: [-0.42428216 -0.00174641], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4267625  -0.00248032], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4309589  -0.00419642], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4358412 -0.0048823], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.44137412 -0.00553291], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.44851747 -0.00714336], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4562192  -0.00770172], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.46442282 -0.00820363], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.47306794 -0.00864512], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4830906  -0.01002266], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.49441633 -0.01132572], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.50696063 -0.01254431], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5206297  -0.01366904], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.534321   -0.01369131], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5479319  -0.01361091], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5613605  -0.01342857], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.57550645 -0.01414596], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.58926463 -0.01375823], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.60353357 -0.01426891], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6162087  -0.01267513], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.62719816 -0.01098946], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.63642305 -0.00922491], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6448179  -0.00839479], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6533234  -0.00850556], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.66088045 -0.007557  ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.66743666 -0.00655625], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6739473  -0.00651063], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.67836815 -0.00442086], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6826695  -0.00430135], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6858226  -0.00315309], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6868065  -0.00098387], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.68561465  0.00119186], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6832549  0.0023597], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.67874306  0.00451186], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6721092   0.00663388], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.66539794  0.00671122], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.65765506  0.00774293], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.64793354  0.00972147], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.63630104  0.0116325 ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6228393   0.01346176], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6086442   0.01419512], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5948181   0.01382606], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.580462    0.01435615], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5646814   0.01578056], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.54759353  0.0170879 ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.53032583  0.0172677 ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.51300764  0.01731815], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.49676892  0.01623873], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4797312   0.01703773], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.46302155  0.01670967], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4457637   0.01725784], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.42908433  0.01667936], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.41310436  0.01597997], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.39693803  0.01616635], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.38069892  0.01623909], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.36549905  0.01519987], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.35144097  0.01405808], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.33861744  0.01282354], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.32811114  0.0105063 ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.31798837  0.01012275], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.30831176  0.00967662], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.29913986  0.00917191], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.29052702  0.00861283], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.2825232   0.00800379], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.27717397  0.00534927], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.27250907  0.00466489], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.26855424  0.00395482], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.265331    0.00322324], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.2628567  0.0024743], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.26214454  0.00071215], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.26319832 -0.00105378], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.26701245 -0.00381412], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.27256647 -0.00555402], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.27883023 -0.00626378], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.2877692  -0.00893896], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.29833296 -0.01056377], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.31146055 -0.01312757], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.3270739  -0.01561336], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.34507728 -0.01800338], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.3643565 -0.0192792], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.38578507 -0.0214286 ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4082181  -0.02243301], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.43149927 -0.02328119], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.45546246 -0.02396318], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.4789331  -0.02347065], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5017378  -0.02280464], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.52370626 -0.02196848], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.5466739  -0.02296767], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.56846863 -0.02179475], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.58892787 -0.02045924], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6089003 -0.0199724], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.62823987 -0.0193396 ], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6458075  -0.01756762], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.662479   -0.01667145], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.6771387  -0.01465972], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.69168717 -0.01454846], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.7040277  -0.01234055], reward: -1.0, terminated: False, truncated: False, info: {}
observation: [-0.71508014 -0.01105246], reward: -1.0, terminated: False, truncated: False, info: {}
